id,symbol,headline,summary,catalyst_type,positive,confirmed,confidence,reason,trade_result,pnl_pct,created_at,premarket_gap_pct,pre_open_pct,midday_pct,eod_pct,detection_price,premarket_checked_at,eod_checked_at,features
00000020,AAA,Synthetic EARNINGS headline #20,,EARNINGS,true,false,70,,,,2026-01-08 10:00:00+00,-1.29,-1.18,-0.48,-0.96,136.62,,,"{""rsi"": 36.9, ""rvol"": 2.45, ""gap_pct"": 4.04, ""spy_regime"": 1}"
00000021,FFF,Synthetic CONTRACT headline #21,,CONTRACT,true,false,60,,,,2026-01-08 17:00:00+00,2.93,-0.59,1.67,3.34,25.72,,,"{""rsi"": 26.5, ""rvol"": 3.44, ""gap_pct"": -8.26, ""spy_regime"": 1}"
00000022,CCC,Synthetic CLINICAL_TRIAL headline #22,,CLINICAL_TRIAL,true,false,40,,,,2026-01-09 00:00:00+00,-2.78,1.65,-0.9,-1.06,47.61,,,"{""rsi"": 66.7, ""rvol"": 3.47, ""gap_pct"": -0.18, ""spy_regime"": 1}"
00000023,FFF,Synthetic CLINICAL_TRIAL headline #23,,CLINICAL_TRIAL,true,true,85,,,,2026-01-09 07:00:00+00,-2.83,0.49,2.08,4.14,4.33,,,"{""rsi"": 53.0, ""rvol"": 4.09, ""gap_pct"": 5.92, ""spy_regime"": 1}"
00000024,FFF,Synthetic CONTRACT headline #24,,CONTRACT,false,false,20,blocked: low confidence,,,2026-01-09 14:00:00+00,-0.24,2.38,0.08,0.19,20.3,,,"{""rsi"": 38.6, ""rvol"": 5.87, ""gap_pct"": 2.98, ""spy_regime"": 1}"
00000025,BBB,Synthetic CLINICAL_TRIAL headline #25,,CLINICAL_TRIAL,false,false,0,blocked: low confidence,,,2026-01-09 21:00:00+00,-0.48,0.17,-1.52,-2.29,57.23,,,"{""rsi"": 75.2, ""rvol"": 1.7, ""gap_pct"": 2.63, ""spy_regime"": 1}"
00000026,BBB,Synthetic MA headline #26,,MA,true,false,40,,,,2026-01-10 04:00:00+00,0.11,-1.61,2.66,3.92,136.54,,,"{""rsi"": 46.4, ""rvol"": 5.34, ""gap_pct"": -2.12, ""spy_regime"": 1}"
00000027,EEE,Synthetic MA headline #27,,MA,true,false,40,,,,2026-01-10 11:00:00+00,3.11,-3.18,-0.16,-0.24,191.09,,,"{""rsi"": 72.2, ""rvol"": 3.85, ""gap_pct"": 4.47, ""spy_regime"": 1}"
00000028,GGG,Synthetic EARNINGS headline #28,,EARNINGS,true,false,55,,,,2026-01-10 18:00:00+00,-5.8,-1.23,-2.51,-5.45,8.47,,,"{""rsi"": 78.2, ""rvol"": 3.34, ""gap_pct"": -0.08, ""spy_regime"": 1}"
00000029,HHH,Synthetic MA headline #29,,MA,true,true,40,,,,2026-01-11 01:00:00+00,1.49,1.14,-7.04,-8.71,160.68,,,"{""rsi"": 44.2, ""rvol"": 1.85, ""gap_pct"": 1.72, ""spy_regime"": 1}"
00000030,AAA,Synthetic EARNINGS headline #30,,EARNINGS,true,false,95,,,,2026-01-11 08:00:00+00,1.13,0.19,0.81,2.0,185.28,,,"{""rsi"": 27.8, ""rvol"": 4.79, ""gap_pct"": 3.88, ""spy_regime"": 1}"
00000031,DDD,Synthetic CLINICAL_TRIAL headline #31,,CLINICAL_TRIAL,true,true,70,,,,2026-01-11 15:00:00+00,-1.24,-2.94,2.69,6.52,27.19,,,"{""rsi"": 50.6, ""rvol"": 1.88, ""gap_pct"": 2.98, ""spy_regime"": 1}"
00000032,CCC,Synthetic OTHER headline #32,,OTHER,true,false,40,,,,2026-01-11 22:00:00+00,0.36,2.45,-2.21,-2.74,45.59,,,"{""rsi"": 52.6, ""rvol"": 3.73, ""gap_pct"": -0.45, ""spy_regime"": 1}"
00000033,BBB,Synthetic CONTRACT headline #33,,CONTRACT,true,false,70,,,,2026-01-12 05:00:00+00,-0.05,0.68,2.32,2.85,177.85,,,"{""rsi"": 28.0, ""rvol"": 1.82, ""gap_pct"": 10.53, ""spy_regime"": 1}"
00000034,FFF,Synthetic OTHER headline #34,,OTHER,true,false,40,,,,2026-01-12 12:00:00+00,1.78,1.18,-0.23,-0.3,42.58,,,"{""rsi"": 60.9, ""rvol"": 5.51, ""gap_pct"": -0.52, ""spy_regime"": 1}"
00000035,CCC,Synthetic CLINICAL_TRIAL headline #35,,CLINICAL_TRIAL,false,false,55,blocked: low confidence,,,2026-01-12 19:00:00+00,0.37,0.69,0.42,0.87,111.68,,,"{""rsi"": 50.9, ""rvol"": 3.63, ""gap_pct"": 0.51, ""spy_regime"": 1}"
00000036,GGG,Synthetic EARNINGS headline #36,,EARNINGS,false,true,60,blocked: low confidence,,,2026-01-13 02:00:00+00,-2.36,0.37,-0.3,-0.49,137.15,,,"{""rsi"": 24.7, ""rvol"": 1.03, ""gap_pct"": -0.77, ""spy_regime"": 1}"
00000037,GGG,Synthetic OTHER headline #37,,OTHER,false,false,0,blocked: low confidence,,,2026-01-13 09:00:00+00,2.4,-0.96,-1.05,-2.34,38.71,,,"{""rsi"": 47.2, ""rvol"": 4.57, ""gap_pct"": -5.51, ""spy_regime"": 1}"
00000038,FFF,Synthetic OTHER headline #38,,OTHER,false,false,70,blocked: low confidence,,,2026-01-13 16:00:00+00,0.52,-1.09,5.32,6.21,188.1,,,"{""rsi"": 54.2, ""rvol"": 1.55, ""gap_pct"": -4.62, ""spy_regime"": 1}"
00000039,CCC,Synthetic CLINICAL_TRIAL headline #39,,CLINICAL_TRIAL,false,false,40,blocked: low confidence,,,2026-01-13 23:00:00+00,-2.66,1.34,1.04,2.4,109.16,,,"{""rsi"": 42.2, ""rvol"": 2.87, ""gap_pct"": 1.99, ""spy_regime"": 1}"
00000040,EEE,Synthetic ANALYST_UPGRADE headline #40,,ANALYST_UPGRADE,true,true,95,,,,2026-01-14 06:00:00+00,-1.54,1.88,6.86,10.02,12.77,,,"{""rsi"": 36.4, ""rvol"": 5.79, ""gap_pct"": -0.38, ""spy_regime"": 1}"
00000041,BBB,Synthetic CLINICAL_TRIAL headline #41,,CLINICAL_TRIAL,true,false,85,,,,2026-01-14 13:00:00+00,-0.11,-1.15,-2.34,-3.89,153.06,,,"{""rsi"": 78.8, ""rvol"": 0.63, ""gap_pct"": -3.64, ""spy_regime"": 1}"
00000042,BBB,Synthetic EARNINGS headline #42,,EARNINGS,true,true,55,,,,2026-01-14 20:00:00+00,-2.36,-2.08,1.09,2.48,181.41,,,"{""rsi"": 53.0, ""rvol"": 3.29, ""gap_pct"": 1.32, ""spy_regime"": 1}"
00000043,AAA,Synthetic CLINICAL_TRIAL headline #43,,CLINICAL_TRIAL,false,false,0,blocked: low confidence,,,2026-01-15 03:00:00+00,-2.11,0.75,1.16,2.14,95.94,,,"{""rsi"": 30.1, ""rvol"": 3.23, ""gap_pct"": -0.75, ""spy_regime"": 1}"
00000044,AAA,Synthetic ANALYST_UPGRADE headline #44,,ANALYST_UPGRADE,true,true,60,,,,2026-01-15 10:00:00+00,1.49,0.1,-0.74,-1.75,186.11,,,"{""rsi"": 59.8, ""rvol"": 4.61, ""gap_pct"": 0.25, ""spy_regime"": 1}"
00000045,DDD,Synthetic ANALYST_UPGRADE headline #45,,ANALYST_UPGRADE,true,true,85,,,,2026-01-15 17:00:00+00,-2.06,0.73,1.23,1.39,197.79,,,"{""rsi"": 76.7, ""rvol"": 0.9, ""gap_pct"": -0.96, ""spy_regime"": 1}"
00000046,AAA,Synthetic OTHER headline #46,,OTHER,false,true,20,blocked: low confidence,,,2026-01-16 00:00:00+00,-1.57,-1.16,0.94,1.88,192.11,,,"{""rsi"": 34.7, ""rvol"": 4.39, ""gap_pct"": -0.9, ""spy_regime"": 1}"
00000047,FFF,Synthetic CLINICAL_TRIAL headline #47,,CLINICAL_TRIAL,true,true,40,,,,2026-01-16 07:00:00+00,0.43,-1.82,2.38,2.65,121.41,,,"{""rsi"": 58.4, ""rvol"": 4.25, ""gap_pct"": 2.4, ""spy_regime"": 1}"
00000048,DDD,Synthetic EARNINGS headline #48,,EARNINGS,true,false,40,,,,2026-01-16 14:00:00+00,-2.24,-1.86,-1.7,-3.44,102.95,,,"{""rsi"": 70.8, ""rvol"": 2.01, ""gap_pct"": -0.05, ""spy_regime"": 1}"
00000049,DDD,Synthetic EARNINGS headline #49,,EARNINGS,false,true,55,blocked: low confidence,,,2026-01-16 21:00:00+00,-0.75,-0.15,-0.17,-0.38,54.13,,,"{""rsi"": 21.6, ""rvol"": 0.71, ""gap_pct"": -0.3, ""spy_regime"": 1}"
00000050,BBB,Synthetic ANALYST_UPGRADE headline #50,,ANALYST_UPGRADE,true,false,55,,,,2026-01-17 04:00:00+00,0.7,-1.55,-3.02,-3.72,69.64,,,"{""rsi"": 49.7, ""rvol"": 1.23, ""gap_pct"": 0.28, ""spy_regime"": 1}"
00000051,FFF,Synthetic OTHER headline #51,,OTHER,true,false,55,,,,2026-01-17 11:00:00+00,-0.86,2.45,-0.3,-0.37,75.68,,,"{""rsi"": 59.2, ""rvol"": 5.94, ""gap_pct"": 5.46, ""spy_regime"": 1}"
00000052,HHH,Synthetic CLINICAL_TRIAL headline #52,,CLINICAL_TRIAL,true,true,70,,,,2026-01-17 18:00:00+00,-1.04,2.47,1.11,2.55,19.36,,,"{""rsi"": 53.9, ""rvol"": 3.17, ""gap_pct"": -0.86, ""spy_regime"": 1}"
00000053,FFF,Synthetic OTHER headline #53,,OTHER,false,true,20,blocked: low confidence,,,2026-01-18 01:00:00+00,-0.98,-1.11,-1.82,-2.13,139.71,,,"{""rsi"": 37.0, ""rvol"": 1.29, ""gap_pct"": 4.55, ""spy_regime"": 1}"
00000054,GGG,Synthetic OTHER headline #54,,OTHER,true,true,95,,,,2026-01-18 08:00:00+00,3.17,-0.49,3.34,5.07,161.2,,,"{""rsi"": 38.3, ""rvol"": 2.25, ""gap_pct"": -1.67, ""spy_regime"": 1}"
00000055,CCC,Synthetic OTHER headline #55,,OTHER,true,true,70,,,,2026-01-18 15:00:00+00,1.33,-1.65,-0.85,-1.74,41.41,,,"{""rsi"": 53.8, ""rvol"": 4.88, ""gap_pct"": 1.81, ""spy_regime"": 1}"
00000056,GGG,Synthetic CONTRACT headline #56,,CONTRACT,false,false,60,blocked: low confidence,,,2026-01-18 22:00:00+00,2.32,0.74,-3.96,-4.99,114.79,,,"{""rsi"": 78.0, ""rvol"": 4.08, ""gap_pct"": -0.37, ""spy_regime"": 1}"
00000057,GGG,Synthetic ANALYST_UPGRADE headline #57,,ANALYST_UPGRADE,false,true,20,blocked: low confidence,,,2026-01-19 05:00:00+00,0.04,1.06,-0.54,-0.7,19.69,,,"{""rsi"": 58.0, ""rvol"": 1.29, ""gap_pct"": -6.4, ""spy_regime"": 1}"
00000058,BBB,Synthetic ANALYST_UPGRADE headline #58,,ANALYST_UPGRADE,true,false,95,,,,2026-01-19 12:00:00+00,-1.15,-3.22,0.77,1.27,29.93,,,"{""rsi"": 49.3, ""rvol"": 4.93, ""gap_pct"": -2.53, ""spy_regime"": 1}"
00000059,AAA,Synthetic CLINICAL_TRIAL headline #59,,CLINICAL_TRIAL,false,false,70,blocked: low confidence,,,2026-01-19 19:00:00+00,0.67,-1.49,2.57,4.21,191.68,,,"{""rsi"": 58.4, ""rvol"": 3.38, ""gap_pct"": -5.43, ""spy_regime"": 1}"
00000060,AAA,Synthetic CLINICAL_TRIAL headline #60,,CLINICAL_TRIAL,false,true,40,blocked: low confidence,,,2026-01-20 02:00:00+00,-3.19,0.43,-0.78,-1.42,79.7,,,"{""rsi"": 51.7, ""rvol"": 2.01, ""gap_pct"": -2.42, ""spy_regime"": 1}"
00000061,FFF,Synthetic CLINICAL_TRIAL headline #61,,CLINICAL_TRIAL,false,true,40,blocked: low confidence,,,2026-01-20 09:00:00+00,0.3,1.08,3.46,4.56,160.68,,,"{""rsi"": 38.8, ""rvol"": 1.59, ""gap_pct"": 0.37, ""spy_regime"": 1}"
00000062,HHH,Synthetic ANALYST_UPGRADE headline #62,,ANALYST_UPGRADE,true,false,55,,,,2026-01-20 16:00:00+00,1.39,-1.38,-4.32,-7.19,187.66,,,"{""rsi"": 57.6, ""rvol"": 5.68, ""gap_pct"": 3.79, ""spy_regime"": 1}"
00000063,EEE,Synthetic CLINICAL_TRIAL headline #63,,CLINICAL_TRIAL,false,false,20,blocked: low confidence,,,2026-01-20 23:00:00+00,0.16,-0.5,2.26,2.62,45.83,,,"{""rsi"": 28.1, ""rvol"": 4.89, ""gap_pct"": -2.3, ""spy_regime"": 1}"
00000064,FFF,Synthetic CLINICAL_TRIAL headline #64,,CLINICAL_TRIAL,false,false,95,blocked: low confidence,,,2026-01-21 06:00:00+00,2.68,2.59,1.47,1.83,122.4,,,"{""rsi"": 29.4, ""rvol"": 1.36, ""gap_pct"": -4.54, ""spy_regime"": 1}"
00000065,CCC,Synthetic EARNINGS headline #65,,EARNINGS,true,true,60,,,,2026-01-21 13:00:00+00,1.38,0.59,4.1,5.41,3.27,,,"{""rsi"": 69.3, ""rvol"": 5.15, ""gap_pct"": 4.18, ""spy_regime"": 1}"
00000066,GGG,Synthetic EARNINGS headline #66,,EARNINGS,true,true,95,,,,2026-01-21 20:00:00+00,1.06,2.13,5.15,6.51,171.9,,,"{""rsi"": 38.2, ""rvol"": 4.84, ""gap_pct"": -1.1, ""spy_regime"": 1}"
00000067,GGG,Synthetic MA headline #67,,MA,false,false,0,blocked: low confidence,,,2026-01-22 03:00:00+00,1.52,0.59,-2.53,-3.99,189.48,,,"{""rsi"": 77.8, ""rvol"": 2.24, ""gap_pct"": 1.82, ""spy_regime"": 1}"
00000068,HHH,Synthetic CONTRACT headline #68,,CONTRACT,true,false,70,,,,2026-01-22 10:00:00+00,1.94,0.11,2.38,3.15,93.97,,,"{""rsi"": 78.0, ""rvol"": 5.06, ""gap_pct"": 1.85, ""spy_regime"": 1}"
00000069,CCC,Synthetic CLINICAL_TRIAL headline #69,,CLINICAL_TRIAL,false,true,20,blocked: low confidence,,,2026-01-22 17:00:00+00,-0.49,1.41,0.72,1.08,169.37,,,"{""rsi"": 63.2, ""rvol"": 5.46, ""gap_pct"": -5.85, ""spy_regime"": 1}"
00000070,EEE,Synthetic MA headline #70,,MA,true,true,70,,,,2026-01-23 00:00:00+00,-2.96,-0.93,-0.08,-0.14,42.39,,,"{""rsi"": 63.9, ""rvol"": 2.31, ""gap_pct"": -2.0, ""spy_regime"": 1}"
00000071,GGG,Synthetic EARNINGS headline #71,,EARNINGS,false,false,20,blocked: low confidence,,,2026-01-23 07:00:00+00,2.17,0.38,0.85,1.13,136.51,,,"{""rsi"": 62.5, ""rvol"": 1.49, ""gap_pct"": 1.03, ""spy_regime"": 1}"
00000072,CCC,Synthetic CONTRACT headline #72,,CONTRACT,false,true,0,blocked: low confidence,,,2026-01-23 14:00:00+00,-2.05,-2.04,3.45,4.25,154.93,,,"{""rsi"": 40.5, ""rvol"": 5.03, ""gap_pct"": -0.25, ""spy_regime"": 1}"
00000073,AAA,Synthetic MA headline #73,,MA,false,true,70,blocked: low confidence,,,2026-01-23 21:00:00+00,-0.09,0.97,3.0,5.43,140.88,,,"{""rsi"": 78.9, ""rvol"": 4.84, ""gap_pct"": 0.29, ""spy_regime"": 1}"
00000074,EEE,Synthetic ANALYST_UPGRADE headline #74,,ANALYST_UPGRADE,true,false,85,,,,2026-01-24 04:00:00+00,-1.78,-0.42,1.17,1.79,123.45,,,"{""rsi"": 29.5, ""rvol"": 4.72, ""gap_pct"": -5.44, ""spy_regime"": 1}"
00000075,DDD,Synthetic MA headline #75,,MA,false,true,55,blocked: low confidence,,,2026-01-24 11:00:00+00,0.18,-0.8,4.0,6.27,187.37,,,"{""rsi"": 54.0, ""rvol"": 0.65, ""gap_pct"": -0.05, ""spy_regime"": 1}"
00000076,BBB,Synthetic ANALYST_UPGRADE headline #76,,ANALYST_UPGRADE,true,false,70,,,,2026-01-24 18:00:00+00,-1.46,-0.44,-0.72,-0.84,92.1,,,"{""rsi"": 63.8, ""rvol"": 1.81, ""gap_pct"": 6.18, ""spy_regime"": 1}"
00000077,FFF,Synthetic EARNINGS headline #77,,EARNINGS,true,false,70,,,,2026-01-25 01:00:00+00,0.62,-0.84,0.22,0.32,137.96,,,"{""rsi"": 41.8, ""rvol"": 4.67, ""gap_pct"": -0.11, ""spy_regime"": 1}"
00000078,GGG,Synthetic CLINICAL_TRIAL headline #78,,CLINICAL_TRIAL,false,true,0,blocked: low confidence,,,2026-01-25 08:00:00+00,-2.14,-1.42,3.92,5.02,188.07,,,"{""rsi"": 59.5, ""rvol"": 2.19, ""gap_pct"": 8.0, ""spy_regime"": 1}"
00000079,DDD,Synthetic CONTRACT headline #79,,CONTRACT,true,true,85,,,,2026-01-25 15:00:00+00,-1.64,-0.56,-0.42,-0.58,82.93,,,"{""rsi"": 40.2, ""rvol"": 1.22, ""gap_pct"": -0.26, ""spy_regime"": 1}"
00000080,GGG,Synthetic CLINICAL_TRIAL headline #80,,CLINICAL_TRIAL,true,true,40,,,,2026-01-25 22:00:00+00,0.02,-1.73,-3.27,-3.64,84.05,,,"{""rsi"": 57.4, ""rvol"": 4.29, ""gap_pct"": -1.99, ""spy_regime"": 1}"
00000081,AAA,Synthetic EARNINGS headline #81,,EARNINGS,false,false,85,blocked: low confidence,,,2026-01-26 05:00:00+00,-0.29,0.45,-6.06,-7.95,106.62,,,"{""rsi"": 51.5, ""rvol"": 2.88, ""gap_pct"": -2.62, ""spy_regime"": 1}"
00000082,GGG,Synthetic ANALYST_UPGRADE headline #82,,ANALYST_UPGRADE,true,false,85,,,,2026-01-26 12:00:00+00,2.24,-0.29,2.74,6.06,51.14,,,"{""rsi"": 70.7, ""rvol"": 1.83, ""gap_pct"": -4.13, ""spy_regime"": 1}"
00000083,GGG,Synthetic CONTRACT headline #83,,CONTRACT,true,false,60,,,,2026-01-26 19:00:00+00,-1.1,-0.35,8.03,11.07,146.97,,,"{""rsi"": 72.3, ""rvol"": 2.53, ""gap_pct"": -7.82, ""spy_regime"": 1}"
00000084,AAA,Synthetic EARNINGS headline #84,,EARNINGS,false,false,20,blocked: low confidence,,,2026-01-27 02:00:00+00,-0.92,2.32,2.38,5.78,27.39,,,"{""rsi"": 52.3, ""rvol"": 5.73, ""gap_pct"": 3.09, ""spy_regime"": 1}"
00000085,FFF,Synthetic MA headline #85,,MA,false,true,95,blocked: low confidence,,,2026-01-27 09:00:00+00,-0.84,1.65,-1.39,-1.6,118.35,,,"{""rsi"": 22.8, ""rvol"": 0.67, ""gap_pct"": 1.69, ""spy_regime"": 1}"
00000086,FFF,Synthetic CONTRACT headline #86,,CONTRACT,false,false,95,blocked: low confidence,,,2026-01-27 16:00:00+00,0.29,-0.16,-1.83,-2.54,179.67,,,"{""rsi"": 31.7, ""rvol"": 5.11, ""gap_pct"": 6.51, ""spy_regime"": 1}"
00000087,FFF,Synthetic CONTRACT headline #87,,CONTRACT,true,false,55,,,,2026-01-27 23:00:00+00,1.55,-0.29,1.81,2.96,12.85,,,"{""rsi"": 26.4, ""rvol"": 4.49, ""gap_pct"": 5.77, ""spy_regime"": 1}"
00000088,EEE,Synthetic CLINICAL_TRIAL headline #88,,CLINICAL_TRIAL,true,false,70,,,,2026-01-28 06:00:00+00,0.62,1.0,-1.54,-2.1,172.72,,,"{""rsi"": 27.2, ""rvol"": 4.3, ""gap_pct"": 0.93, ""spy_regime"": 1}"
00000089,DDD,Synthetic MA headline #89,,MA,false,false,70,blocked: low confidence,,,2026-01-28 13:00:00+00,-0.48,2.11,1.78,3.99,48.11,,,"{""rsi"": 38.1, ""rvol"": 5.6, ""gap_pct"": -2.66, ""spy_regime"": 1}"
00000090,BBB,Synthetic EARNINGS headline #90,,EARNINGS,false,false,95,blocked: low confidence,,,2026-01-28 20:00:00+00,3.05,3.85,-0.59,-1.2,121.14,,,"{""rsi"": 37.1, ""rvol"": 1.88, ""gap_pct"": -0.18, ""spy_regime"": 1}"
00000091,GGG,Synthetic CONTRACT headline #91,,CONTRACT,false,true,0,blocked: low confidence,,,2026-01-29 03:00:00+00,4.22,0.05,0.25,0.57,179.88,,,"{""rsi"": 57.3, ""rvol"": 5.54, ""gap_pct"": -1.66, ""spy_regime"": 1}"
00000092,CCC,Synthetic CLINICAL_TRIAL headline #92,,CLINICAL_TRIAL,true,true,70,,,,2026-01-29 10:00:00+00,-2.85,-1.43,1.09,2.39,102.61,,,"{""rsi"": 70.7, ""rvol"": 4.26, ""gap_pct"": -3.54, ""spy_regime"": 1}"
00000093,HHH,Synthetic ANALYST_UPGRADE headline #93,,ANALYST_UPGRADE,true,false,95,,,,2026-01-29 17:00:00+00,-0.1,1.01,1.43,1.61,49.48,,,"{""rsi"": 49.3, ""rvol"": 1.72, ""gap_pct"": -5.17, ""spy_regime"": 1}"
00000094,EEE,Synthetic CONTRACT headline #94,,CONTRACT,false,true,95,blocked: low confidence,,,2026-01-30 00:00:00+00,0.31,-0.29,-0.5,-1.09,122.89,,,"{""rsi"": 68.4, ""rvol"": 3.27, ""gap_pct"": 3.66, ""spy_regime"": 1}"
00000095,EEE,Synthetic EARNINGS headline #95,,EARNINGS,true,true,55,,,,2026-01-30 07:00:00+00,0.23,-1.75,-0.32,-0.44,64.93,,,"{""rsi"": 57.3, ""rvol"": 3.39, ""gap_pct"": 0.82, ""spy_regime"": 1}"
00000096,HHH,Synthetic CONTRACT headline #96,,CONTRACT,true,false,85,,,,2026-01-30 14:00:00+00,-0.92,0.79,-5.19,-5.87,120.39,,,"{""rsi"": 47.3, ""rvol"": 2.24, ""gap_pct"": 0.09, ""spy_regime"": 1}"
00000097,DDD,Synthetic MA headline #97,,MA,true,true,95,,,,2026-01-30 21:00:00+00,-2.06,0.98,1.62,3.63,92.7,,,"{""rsi"": 64.7, ""rvol"": 0.72, ""gap_pct"": -0.15, ""spy_regime"": 1}"
